FID,HUC12,FREQUENCY,MEAN_pnMH20,MEAN_pnFH1,MEAN_pnFH6,MEAN_pnFH7,MEAN_pnDH1,MEAN_pnDH2,MEAN_pnDH3,MEAN_pnDH4,MEAN_pnDH5,MEAN_pnDH15
-1,101800010305,5,0.074304570400000,0.046296468400000,0.088012833600000,0.101562757800000,0.087570295800000,0.132945160400000,0.100626629200000,0.103891982400000,0.091444626400000,0.065544756000000
-1,101800010306,53,0.283631811924528,0.157690646886792,0.286984021698113,0.342807033698113,0.257466293226415,0.258437573886793,0.258924215490566,0.265579283075472,0.225376006962264,0.248247922490566
-1,101800010401,6,0.073235047666667,0.048665405000000,0.067939641166667,0.117130591666667,0.059040341500000,0.069958122666667,0.067309830000000,0.083638496333333,0.069962974833333,0.067207773333333
-1,101800010402,8,0.171243958375000,0.083280427875000,0.114610654250000,0.133613633125000,0.084753311000000,0.075384045375000,0.094877633250000,0.112112683500000,0.084338452500000,0.106083218500000
-1,101800010403,4,0.100680331250000,0.056634430750000,0.108144697500000,0.135689566000000,0.087164229000000,0.131157181000000,0.099375018750000,0.101959158000000,0.097055767750000,0.063629329250000
-1,101800010404,10,0.128970879800000,0.069154532700000,0.116243562200000,0.141906275100000,0.099612600800000,0.147016848900000,0.124933784000000,0.124023097400000,0.108412137000000,0.071275010300000
-1,101800010405,8,0.308608662500000,0.143476959375000,0.245897946625000,0.231999516375000,0.192652514875000,0.204013539375000,0.203689701500000,0.217071180125000,0.173615416625000,0.174285191750000
-1,101800010406,2,0.329329542000000,0.103221173500000,0.226262318500000,0.228113882000000,0.173341527000000,0.183695275000000,0.181666066500000,0.216066357500000,0.173508963000000,0.159947957000000
-1,101800010407,9,0.274236569777778,0.163051759111111,0.293172437000000,0.378936951777778,0.221934129222222,0.178434592555556,0.246448425111111,0.240899631666667,0.237491031333333,0.272625954111111
-1,101800010408,18,0.341065560444444,0.134255394166667,0.250529536611111,0.254402186222222,0.201571329555556,0.209654305111111,0.210681091944444,0.224585387277778,0.185105284000000,0.191645928722222
-1,101800010409,2,0.439400952000000,0.133712783000000,0.257290171000000,0.267398971000000,0.218350178000000,0.209282982000000,0.213861682500000,0.256962298000000,0.230234156000000,0.233930746500000
-1,101800010501,7,0.045961591857143,0.037702898285714,0.066334650714286,0.083788749428571,0.040098877142857,0.043228021285714,0.050820143857143,0.077158689428571,0.052221118857143,0.060197701571429
-1,101800010502,1,0.128650713000000,0.056443538000000,0.160287133000000,0.169957956000000,0.110987628000000,0.083738619000000,0.114959525000000,0.179316568000000,0.138704974000000,0.112904539000000
-1,101800010503,1,0.128650713000000,0.056443538000000,0.160287133000000,0.169957956000000,0.110987628000000,0.083738619000000,0.114959525000000,0.179316568000000,0.138704974000000,0.112904539000000
-1,101800010504,8,0.047199407500000,0.030374449750000,0.062317866750000,0.094747735250000,0.054029590000000,0.088133419500000,0.072566599250000,0.075064002250000,0.060450423625000,0.038419328000000
-1,101800010505,20,0.192325232650000,0.130239253500000,0.221048300150000,0.263435537250000,0.199953572050000,0.222627102550000,0.213914059100000,0.223143603000000,0.192383205650000,0.181753879100000
-1,101800010506,1,0.499830560000000,0.161077610000000,0.323717707000000,0.311276155000000,0.250704564000000,0.239923824000000,0.227933525000000,0.241992643000000,0.210949626000000,0.233672239000000
-1,101800010507,20,0.466511566850000,0.182420410850000,0.321666525050000,0.348987067950000,0.258297393300000,0.254180939600000,0.251967108750000,0.257585313950000,0.235189219000000,0.259466233250000
-1,101800010601,7,0.054017929714286,0.040652761285714,0.082108455285714,0.117130966857143,0.060744568714286,0.082495934857143,0.078140062000000,0.089684231571429,0.055368830714286,0.067187492142857
-1,101800010602,1,0.075572259000000,0.053178615000000,0.105306092000000,0.124272722000000,0.091236849000000,0.154864915000000,0.118489001000000,0.118639236000000,0.095670147000000,0.067736012000000
-1,101800010603,13,0.099349235153846,0.068729498076923,0.107828140923077,0.137699514923077,0.108924921538462,0.158769719846154,0.127955433307692,0.128084171769231,0.104769423615385,0.075269518307692
-1,101800010604,15,0.105192852133333,0.067751513266667,0.124109245400000,0.163710167266667,0.114161377000000,0.156934867800000,0.140242576000000,0.141453023000000,0.113980007733333,0.095186409200000
