OID_,HUC12,ZONE_CODE,COUNT,AREA,MEAN
,101900050301,256,253,227700.000000000000000,0.003952569169960
,101900050302,257,1155,1039500.000000000000000,0.000865800865801
,101900050303,258,701,630900.000000000000000,0.009985734664760
,101900050304,259,10038,9034200.000000000000000,0.028690974297700
,101900050401,260,1858,1672200.000000000000000,0.006996770721210
,101900050402,261,2633,2369700.000000000000000,0.005696923661220
,101900050403,262,728,655200.000000000000000,0.008241758241760
,101900050404,263,746,671400.000000000000000,0.001340482573730
,101900050405,264,30,27000.000000000000000,0.000000000000000
,101900050406,265,10577,9519300.000000000000000,0.003498156377040
,101900050501,266,600,540000.000000000000000,0.018333333333300
,101900050502,267,1073,965700.000000000000000,0.009319664492080
,101900050503,268,2934,2640600.000000000000000,0.000000000000000
,101900050504,269,11904,10713600.000000000000000,0.007980510752690
,101900050601,270,6554,5898600.000000000000000,0.029447665547800
,101900050602,271,2481,2232900.000000000000000,0.054816606207200
,101900050603,272,4600,4140000.000000000000000,0.020434782608700
,101900050604,273,4003,3602700.000000000000000,0.027479390457200
,101900050605,274,7567,6810300.000000000000000,0.040306594423200
,101900050701,275,8380,7542000.000000000000000,0.012171837708800
,101900050702,276,1446,1301400.000000000000000,0.001383125864450
,101900050703,277,12074,10866600.000000000000000,0.013168792446600
,101900050704,278,8623,7760700.000000000000000,0.014380146120800
,101900050705,279,9059,8153100.000000000000000,0.023402141516700
,101900050706,280,8033,7229700.000000000000000,0.033113407195300
,101900050707,281,21237,19113300.000000000000000,0.013985026133600
,101900050708,282,2312,2080800.000000000000000,0.002595155709340
,101900050709,283,7031,6327900.000000000000000,0.016640591665500
,101900060101,284,203,182700.000000000000000,0.000000000000000
,101900060102,285,482,433800.000000000000000,0.000000000000000
,101900060103,286,2,1800.000000000000000,0.000000000000000
,101900060104,287,832,748800.000000000000000,0.033653846153800
,101900060201,288,808,727200.000000000000000,0.009900990099010
,101900060202,289,2122,1909800.000000000000000,0.231856738926000
