FID,HUC12,FP_Areakm2,StrmOrder
406,101900100205,4.9756498,3
407,101900100206,3.8890400,3
408,101900100207,7.8590202,3
409,101900100208,5.6543002,4
410,101900100209,19.7220001,4
411,101900100301,4.2572298,3
412,101900100302,6.1870399,3
413,101900100303,5.1573400,3
414,101900100304,16.2112999,3
415,101900100401,4.3732300,3
416,101900100402,6.6819701,4
417,101900100403,30.0291004,4
418,101900100404,31.5732994,4
419,101900110101,1.8341800,2
420,101900110102,2.4770801,2
421,101900110103,5.4738898,3
422,101900110104,3.9804900,3
423,101900110105,1.9337900,3
424,101900110106,0.0031948,3
425,101900110107,12.9672003,4
426,101900110108,8.5550604,4
427,101900110109,9.8681297,4
428,101900110201,1.5190200,2
429,101900110202,0.9851190,2
430,101900110203,2.9300699,2
431,101900110204,3.0548501,2
432,101900110205,4.6097102,2
433,101900110206,3.6800101,3
434,101900110207,1.3940800,3
435,101900110208,8.0906897,4
436,101900110209,20.1714993,5
437,101900110301,1.5754300,2
438,101900110302,1.9385000,2
439,101900110303,3.0027201,3
440,101900110304,4.6878901,3
441,101900110305,4.9762201,4
442,101900110306,6.2658901,4
443,101900110307,5.2600698,3
444,101900110308,17.2110996,5
445,101900110401,4.4452701,3
446,101900110402,3.3314900,3
447,101900110403,2.8781199,4
448,101900110404,4.6045499,3
449,101900110405,5.3051000,4
450,101900110406,20.9437008,5
451,101900110501,41.0842018,5
452,101900110502,25.0209007,3
453,101900110503,18.4598007,3
454,101900110504,22.2856007,5
455,101900120101,0.1232470,4
456,101900120102,4.4085598,3
457,101900120103,3.8709700,4
458,101900120104,5.0614700,4
459,101900120105,7.6908398,4
460,101900120106,13.0679998,4
461,101900120107,29.4095993,4
462,101900120201,15.0390997,7
463,101900120202,0.9352420,2
464,101900120203,1.5794899,3
465,101900120204,3.2861900,3
466,101900120205,14.3704996,3
467,101900120206,47.6698990,7
468,101900120301,0.5119430,-999
469,101900120302,2.6511500,2
470,101900120303,2.3907101,3
471,101900120304,3.8160501,4
472,101900120401,1.4429899,3
473,101900120402,38.9985008,7
474,101900120501,1.6768700,-999
475,101900120502,1.8216500,-999
476,101900120503,2.4578199,-999
477,101900120601,7.0875301,-999
478,101900120602,8.8522396,3
479,101900120603,9.5440197,3
480,101900120605,36.3498001,7
481,101900120606,2.6915700,2
482,101900120607,21.2339993,7
483,101900120701,10.9138002,7
484,101900120702,15.6531000,3
485,101900120703,2.2198300,4
486,101900120704,3.7856100,4
487,101900120705,20.1424007,7
488,101900120706,3.0238199,2
489,101900120707,1.1202300,3
490,101900120708,5.4856601,3
491,101900120709,22.5902004,7
492,101900120801,4.0302601,3
493,101900120802,2.8975000,2
494,101900120803,4.6919899,3
495,101900120804,3.4319501,3
496,101900120805,1.9725000,-999
497,101900120806,3.9584799,3
498,101900120807,2.3119900,4
499,101900120808,14.7002001,4
500,101900120809,11.0706997,4
501,101900120901,1.8525500,1
502,101900120903,1.9997500,2
503,101900120904,38.7659988,7
504,101900120905,19.1004009,7
505,101900121001,14.5035000,7
506,101900121002,2.6895700,2
507,101900121003,3.7286799,2
508,101900121004,3.5229101,4
509,101900121005,27.1009007,7
510,101900121101,4.4204402,4
511,101900121102,3.8284600,3
512,101900121103,5.7265201,4
513,101900121104,0.1793230,-999
514,101900121105,23.4916000,7
515,101900121201,10.8859997,3
516,101900121202,1.2588100,4
517,101900121203,7.8252802,4
518,101900121204,0.2624240,-999
519,101900121205,0.3163250,4
520,101900121206,13.4537001,5
521,101900121207,51.4017982,7
522,101900121301,0.6294320,3
523,101900121302,7.8863401,7
524,101900121303,4.1442599,7
525,101900121304,19.3218002,7
526,101900130101,1.4628000,3
527,101900130102,1.3113700,3
528,101900130103,3.6135900,4
529,101900130104,5.7060800,4
530,101900130105,2.5394499,4
531,101900130106,2.5528700,4
532,101900130201,1.9737099,4
533,101900130202,4.2623701,4
534,101900130203,6.7559199,4
535,101900130204,5.6086402,4
536,101900130205,4.3363500,4
537,101900130206,6.7022800,5
538,101900130207,4.5676599,5
539,101900130301,2.1925900,3
540,101900130302,7.0368900,3
541,101900130303,4.9607201,4
542,101900130304,12.3610001,4
543,101900130305,3.1718700,3
544,101900130306,7.8635898,4
545,101900130307,11.3697996,6
546,101900130401,2.4004200,3
547,101900130402,7.2545800,3
548,101900130403,3.6294999,3
549,101900130404,9.2678699,4
550,101900130405,25.3120003,6
551,101900130406,2.8153701,2
552,101900130407,23.3889999,6
553,101900130408,12.3438997,6
554,101900130409,25.0485001,6
555,101900140101,0.1920000,3
556,101900140102,0.0312583,3
557,101900140103,1.6843801,3
558,101900140104,2.9817600,3
559,101900140105,2.6540699,4
560,101900140201,1.1483600,-999
561,101900140202,5.1560402,2
562,101900140203,4.5078001,3
563,101900140204,1.5808300,3
564,101900140205,0.6174080,3
565,101900140206,1.9507500,3
566,101900140207,2.2219200,3
567,101900140301,4.3740602,4
568,101900140302,2.0759201,3
569,101900140303,3.3740900,3
570,101900140304,0.9400800,4
571,101900140305,4.1294498,4
572,101900140402,0.8955890,3
573,101900140403,2.2921200,4
574,101900140405,3.0687799,2
575,101900140406,4.8962598,4
576,101900140407,15.8163004,4
577,101900150203,2.7056000,1
578,101900160601,7.8358998,2
579,101900160602,0.4120960,2
580,101900160707,3.4213200,7
581,101900170102,0.0136899,1
582,101900170201,2.9558001,3
583,101900170202,4.5309200,3
584,101900170204,0.3329550,3
585,101900170301,0.0561989,1
586,101900180101,12.2017002,7
587,101900180102,3.9697001,7
588,101900180103,3.7074800,7
589,101900180105,5.4171100,5
590,102500010101,1.1937100,3
591,102500010102,3.4602201,4
592,102500010103,3.4489701,2
593,102500010104,4.7646599,4
594,102500010105,7.2694602,3
595,102500010106,3.6943901,2
596,102500010107,4.5819802,3
597,102500010108,5.1072798,3
598,102500010109,8.8000603,4
599,102500010110,5.0087299,4
600,102500010201,1.2867000,3
601,102500010202,2.5837901,3
602,102500010203,0.0158527,2
603,102500010204,3.2883999,3
604,102500010205,10.2778997,4
605,102500010301,2.0327101,2
606,102500010302,2.4511700,2
607,102500010303,1.5857400,2
608,102500010304,2.6363399,3
609,102500010305,4.7441401,2
610,102500010306,4.8626800,3
611,102500010307,0.0306833,2
612,102500010308,4.3100400,3
613,102500010309,7.3358302,4
614,102500010310,19.6865005,4
615,102500010401,7.4028502,4
616,102500010402,25.9773998,4
617,102500010403,26.2625008,1
618,102500010404,10.0967999,4
619,102500010405,22.4880009,4
620,102500010406,36.1313019,1
621,102500010407,28.1744995,4
622,102500010501,3.3918300,2
623,102500010502,14.2657003,2
624,102500010503,14.5882998,-999
625,102500010504,47.4170990,-999
626,102500010505,7.7461200,-999
627,102500010601,0.3824330,1
628,102500010602,26.8875999,2
629,102500010603,2.1190500,4
630,102500010701,13.2826996,1
631,102500010702,32.7831993,2
632,102500010703,11.1273003,4
633,102500010704,11.1956997,4
634,102500010705,10.3407001,4
635,102500010706,5.7511101,4
636,102500010801,0.1104890,2
637,102500010802,6.5105100,3
638,102500010803,9.9936199,4
639,102500010804,0.7114750,4
640,102500020101,17.1320000,3
641,102500020102,9.7657900,3
642,102500020201,0.7139340,2
643,102500020202,2.6505301,2
644,102500020203,8.8941402,4
645,102500020301,4.3847699,3
646,102500020302,4.5395999,3
647,102500020303,6.5775900,3
648,102500020401,6.1230602,3
649,102500020402,2.7586300,2
650,102500020403,5.6940398,3
651,102500020404,2.3195100,3
652,102500020405,4.1343002,3
653,102500020406,11.2699003,4
