OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900030405.000000000000000,21,0.284525790005000
,101900030406.000000000000000,12,0.550308167100000
,101900030407.000000000000000,12,0.344448487764000
,101900030408.000000000000000,16,0.215425610446000
,101900030409.000000000000000,15,0.233111476211000
,101900030501.000000000000000,3,0.244197380545000
,101900030502.000000000000000,1,0.251991987765000
,101900030503.000000000000000,1,0.251991987765000
,101900030504.000000000000000,1,0.251991987765000
,101900030505.000000000000000,1,0.251991987765000
,101900030601.000000000000000,6,0.211463031930000
,101900030602.000000000000000,7,0.239282780998000
,101900030603.000000000000000,15,0.333038152047000
,101900030604.000000000000000,11,0.310319574687000
,101900030605.000000000000000,12,0.342213391836000
,101900030606.000000000000000,6,0.356015294214000
,101900030607.000000000000000,15,0.365272090801000
,101900030701.000000000000000,1,0.831340896144000
,101900030702.000000000000000,5,0.854256703557000
,101900030703.000000000000000,7,0.828496282984000
,101900030704.000000000000000,10,0.786980945514000
,101900030705.000000000000000,35,0.798437736956000
,101900030706.000000000000000,14,0.355200850616000
,101900030707.000000000000000,8,0.261983019263000
,101900030801.000000000000000,5,0.272091322430000
,101900030802.000000000000000,13,0.315752884292000
,101900030803.000000000000000,33,0.285824396561000
,101900030804.000000000000000,4,0.344856044380000
,101900030805.000000000000000,3,0.312989596136000
,101900030806.000000000000000,12,0.334437586903000
,101900030901.000000000000000,7,0.256791470833000
,101900030902.000000000000000,11,0.217532456403000
,101900030903.000000000000000,14,0.221738728119000
,101900030904.000000000000000,12,0.333263055150000
,101900030905.000000000000000,31,0.203974087572000
,101900030906.000000000000000,8,0.241989447964000
,101900030907.000000000000000,11,0.264580753766000
,101900030908.000000000000000,14,0.361988449441000
,101900030909.000000000000000,21,0.522491884736000
,101900030910.000000000000000,26,0.413814156733000
,101900031001.000000000000000,3,0.670674278127000
,101900031002.000000000000000,12,0.540248746513000
,101900031003.000000000000000,1,0.309970502894000
,101900031004.000000000000000,8,0.528928094036000
,101900031005.000000000000000,5,0.465254938919000
,101900031006.000000000000000,7,0.587219456966000
,101900031007.000000000000000,42,0.515401995272000
,101900031101.000000000000000,1,0.412733133030000
,101900031102.000000000000000,12,0.550592728832000
,101900031103.000000000000000,23,0.512898266551000
,101900031104.000000000000000,8,0.541357419440000
,101900031105.000000000000000,15,0.471242260631000
,101900031201.000000000000000,2,0.413058513890000
,101900031202.000000000000000,7,0.370887301143000
,101900031203.000000000000000,19,0.381276834399000
,101900031205.000000000000000,28,0.540897473850000
,101900031206.000000000000000,12,0.573675679053000
,101900040101.000000000000000,12,0.813614305524000
,101900040102.000000000000000,12,0.834798462834000
,101900040103.000000000000000,16,0.788141344247000
,101900040104.000000000000000,9,0.732014227848000
,101900040201.000000000000000,5,0.847926653059000
,101900040202.000000000000000,10,0.780615980048000
,101900040203.000000000000000,4,0.847609878499000
,101900040204.000000000000000,11,0.781018299421000
,101900040205.000000000000000,2,0.716322140559000
,101900040206.000000000000000,15,0.818079207209000
,101900040207.000000000000000,18,0.744292352405000
,101900040301.000000000000000,10,0.832099101340000
,101900040302.000000000000000,6,0.776495395550000
,101900040303.000000000000000,10,0.474834155316000
,101900040304.000000000000000,11,0.493160776072000
,101900040401.000000000000000,9,0.786298613384000
,101900040402.000000000000000,14,0.653035588679000
,101900040403.000000000000000,8,0.491242428059000
,101900040404.000000000000000,10,0.477443828132000
,101900050101.000000000000000,18,0.836819461789000
,101900050102.000000000000000,9,0.855929473608000
,101900050103.000000000000000,9,0.763332258188000
,101900050201.000000000000000,2,0.867272175007000
,101900050202.000000000000000,19,0.865838048468000
,101900050203.000000000000000,4,0.844163836939000
