OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900040403.000000000000000,35,0.519193328623000
,101900040404.000000000000000,32,0.475607375021000
,101900050101.000000000000000,56,0.848766755580000
,101900050102.000000000000000,44,0.858352716542000
,101900050103.000000000000000,24,0.792878914512000
,101900050201.000000000000000,17,0.856924025415000
,101900050202.000000000000000,73,0.865628247114000
,101900050203.000000000000000,26,0.835830893783000
,101900050204.000000000000000,39,0.779211028288000
,101900050301.000000000000000,28,0.837268957796000
,101900050302.000000000000000,29,0.839639763665000
,101900050303.000000000000000,31,0.761341073756000
,101900050304.000000000000000,33,0.388981070316000
,101900050401.000000000000000,80,0.831455187549000
,101900050402.000000000000000,68,0.836531961368000
,101900050403.000000000000000,29,0.801174057361000
,101900050404.000000000000000,35,0.792195857081000
,101900050405.000000000000000,25,0.534026885287000
,101900050406.000000000000000,43,0.578441028904000
,101900050501.000000000000000,53,0.846215640724000
,101900050502.000000000000000,48,0.814461820896000
,101900050503.000000000000000,42,0.799236510289000
,101900050504.000000000000000,32,0.627937661880000
,101900050601.000000000000000,34,0.432890194174000
,101900050602.000000000000000,27,0.763557769976000
,101900050603.000000000000000,22,0.486109940066000
,101900050604.000000000000000,27,0.278138839248000
,101900050605.000000000000000,25,0.290923765254000
,101900050701.000000000000000,39,0.489901958274000
,101900050702.000000000000000,29,0.299389940127000
,101900050703.000000000000000,37,0.428840013595000
,101900050704.000000000000000,55,0.442738744500000
,101900050705.000000000000000,14,0.206936893897000
,101900050706.000000000000000,18,0.228589277273000
,101900050707.000000000000000,47,0.246222910127000
,101900050708.000000000000000,30,0.225906561546000
,101900050709.000000000000000,27,0.273012274178000
,101900060101.000000000000000,28,0.832343099185000
,101900060102.000000000000000,55,0.858772395301000
,101900060103.000000000000000,31,0.844674036269000
,101900060104.000000000000000,36,0.828453449998000
,101900060201.000000000000000,91,0.846733243879000
,101900060202.000000000000000,115,0.768987770975000
,101900060203.000000000000000,16,0.773847176451000
,101900060204.000000000000000,66,0.846226224809000
,101900060205.000000000000000,12,0.758313327670000
,101900060206.000000000000000,23,0.734723594680000
,101900060207.000000000000000,68,0.738448804979000
,101900060301.000000000000000,55,0.808662081877000
,101900060302.000000000000000,58,0.798246854703000
,101900060303.000000000000000,45,0.758790224455000
,101900060304.000000000000000,76,0.734541605008000
,101900060401.000000000000000,33,0.780935687009000
,101900060402.000000000000000,24,0.781299381872000
,101900060403.000000000000000,26,0.807254986217000
,101900060404.000000000000000,28,0.750253888854000
,101900060501.000000000000000,29,0.538962388974000
,101900060502.000000000000000,20,0.430777124121000
,101900060503.000000000000000,30,0.222916228657000
,101900060504.000000000000000,21,0.212699783412000
,101900060601.000000000000000,32,0.814288690493000
,101900060602.000000000000000,40,0.694751539361000
,101900060603.000000000000000,47,0.616117063003000
,101900060604.000000000000000,31,0.433853430853000
,101900060605.000000000000000,39,0.309305079068000
,101900060606.000000000000000,26,0.217231506283000
,101900060607.000000000000000,25,0.224240489811000
,101900070101.000000000000000,33,0.854783176169000
,101900070102.000000000000000,36,0.853579867136000
,101900070103.000000000000000,35,0.845822915403000
,101900070104.000000000000000,26,0.830864880337000
,101900070105.000000000000000,42,0.812094228683000
,101900070201.000000000000000,27,0.867815543871000
,101900070202.000000000000000,22,0.871118095372000
,101900070203.000000000000000,30,0.861568571586000
,101900070204.000000000000000,69,0.842867858461000
,101900070205.000000000000000,53,0.864713909453000
,101900070206.000000000000000,33,0.857711497730000
,101900070207.000000000000000,29,0.858234771097000
,101900070208.000000000000000,98,0.842115451292000
,101900070209.000000000000000,26,0.823053169923000
,101900070210.000000000000000,55,0.834131732747000
,101900070301.000000000000000,51,0.803660951878000
,101900070302.000000000000000,31,0.747220490575000
,101900070303.000000000000000,45,0.749559707477000
,101900070304.000000000000000,49,0.719830983316000
,101900070305.000000000000000,41,0.718241627952000
,101900070402.000000000000000,60,0.486866628959000
,101900070403.000000000000000,38,0.686067332981000
,101900070404.000000000000000,56,0.594991150016000
,101900070501.000000000000000,79,0.837824890421000
,101900070502.000000000000000,69,0.841697200857000
,101900070503.000000000000000,77,0.680469882820000
,101900070504.000000000000000,90,0.809512298194000
,101900070601.000000000000000,60,0.794859201508000
,101900070602.000000000000000,91,0.784205046610000
,101900070603.000000000000000,45,0.766125747568000
,101900070701.000000000000000,58,0.811273394238000
,101900070702.000000000000000,70,0.775350619875000
,101900070703.000000000000000,72,0.801636216925000
,101900070704.000000000000000,106,0.734219710479000
,101900070801.000000000000000,51,0.668890054594000
,101900070802.000000000000000,43,0.716513797620000
,101900070803.000000000000000,102,0.601209676764000
,101900070804.000000000000000,62,0.412284832634000
,101900070805.000000000000000,128,0.538599525499000
,101900070901.000000000000000,73,0.815520734154000
,101900070902.000000000000000,137,0.731748054528000
,101900070903.000000000000000,148,0.662232358172000
,101900070904.000000000000000,96,0.545529002439000
,101900070905.000000000000000,57,0.318865917863000
,101900071001.000000000000000,31,0.310479120015000
,101900071002.000000000000000,91,0.383265273034000
,101900071003.000000000000000,60,0.343337703527000
,101900071004.000000000000000,27,0.219895377418000
,101900071005.000000000000000,31,0.268811996767000
,101900071006.000000000000000,66,0.428420003149000
,101900071007.000000000000000,40,0.311724594408000
,101900071008.000000000000000,38,0.230514397882000
,101900080104.000000000000000,47,0.347788193282000
,101900080105.000000000000000,46,0.784376683448000
,101900080201.000000000000000,61,0.722559147089000
,101900080202.000000000000000,42,0.322238239562000
,101900080203.000000000000000,29,0.209438090619000
,101900080204.000000000000000,49,0.354826498326000
,101900080301.000000000000000,43,0.842419832951000
,101900080302.000000000000000,29,0.726392243687000
,101900080303.000000000000000,24,0.808912321500000
,101900080304.000000000000000,44,0.449377030694000
,101900080305.000000000000000,17,0.303059136957000
,101900080306.000000000000000,34,0.220406125516000
,101900090201.000000000000000,33,0.766603005954000
,101900090202.000000000000000,33,0.724127966289000
,101900090203.000000000000000,47,0.493591142194000
,101900090204.000000000000000,42,0.794490808232000
,101900090205.000000000000000,22,0.781266246754000
,101900090206.000000000000000,32,0.845635242391000
,101900090207.000000000000000,38,0.806991974962000
,101900090208.000000000000000,58,0.647295921242000
,101900090302.000000000000000,23,0.352026395484000
,101900090303.000000000000000,49,0.612569318424000
,101900090304.000000000000000,11,0.319768337353000
,101900090305.000000000000000,33,0.696269760498000
,101900090306.000000000000000,21,0.619954168148000
,101900090401.000000000000000,21,0.793617399176000
,101900090402.000000000000000,32,0.775751376253000
,101900090403.000000000000000,25,0.645246348490000
,101900090501.000000000000000,42,0.675180928390000
,101900090502.000000000000000,46,0.789131649417000
,101900090503.000000000000000,15,0.525007939707000
,101900090504.000000000000000,18,0.635245453090000
,101900090601.000000000000000,40,0.596474592669000
