FID,HUC12,FP_Areakm2,StrmOrder,Floods,Groundwater,Sediment,Organics_Solutes,Habitat,IFI_geomean,IFI_prod,In_City,ECO_name
75,1.019E+11,10.2974005,2,0.936993232,0.851759861,0.868813228,0.833058123,0.759412688,0.848060118,0.438665219,0,SRO
76,1.019E+11,9.5878096,5,0.861094387,0.871268234,0.752239471,0.577526937,0.580391277,0.716754413,0.189169832,0,SRO
77,1.019E+11,3.3571601,5,0.907718893,0.896272697,0.740035665,0.610866222,0.675192215,0.756839074,0.248323448,0,SRO
78,1.019E+11,1.94215,2,0.981745346,0.969483492,0.951766635,0.918383268,0.846250193,0.932220176,0.704032146,0,SRO
79,1.019E+11,1.47876,3,0.955404293,0.956006147,0.886546176,0.879261178,0.830917092,0.900336724,0.591595449,0,SRO
80,1.019E+11,1.52268,2,0.758853517,0.816764092,0.805519176,0.645337323,0.537012784,0.704077354,0.17302222,0,SRO
81,1.019E+11,4.8927398,2,0.842916519,0.839709575,0.863800407,0.683484724,0.735763911,0.789875919,0.307464068,0,SRO
82,1.019E+11,15.4587002,5,0.988735682,0.913537565,0.798834042,0.73531767,0.789323506,0.840230891,0.418787028,0,SRO
83,1.019E+11,16.8533993,5,0.911648808,0.890143392,0.708905793,0.611500172,0.744612861,0.764963365,0.26194082,0,SRO
84,1.019E+11,1.63412,3,0.793074988,0.593379823,0.70389241,0.598406832,0.61694829,0.656870448,0.122292161,0,SRO
85,1.019E+11,6.1378498,3,0.794489589,0.656026102,0.661867775,0.608590593,0.692053012,0.679906249,0.145293159,0,SRO
86,1.019E+11,2.0451801,3,0.701422478,0.904612496,0.834096045,0.752806367,0.72641453,0.780378375,0.289418394,0,SRO
87,1.019E+11,8.7458,3,0.779718299,0.697552556,0.58783743,0.507146603,0.659376278,0.639451702,0.106915024,0,SRO
88,1.019E+11,1.36447,3,0.697104519,0.801750407,0.725799724,0.665301706,0.552051956,0.683330011,0.148988407,0,SRO
89,1.019E+11,1.01055,3,0.9207631,0.903974365,0.894165216,0.8526817,0.805399693,0.874387698,0.511116845,0,SRO
90,1.019E+11,0.879482,3,0.87334674,0.887054992,0.777001777,0.805382212,0.684667851,0.802062563,0.331925967,0,SRO
91,1.019E+11,3.86922,4,0.827846934,0.753831498,0.629013312,0.692345031,0.641921577,0.705241309,0.174457126,0,SRO
92,1.019E+11,1.49261,4,0.789698881,0.683289205,0.587087256,0.653339389,0.552702707,0.64815643,0.114392926,0,SRO
93,1.019E+11,0.40115,2,0.666666667,0.72713877,0.689956368,0.61709013,0.574161857,0.652748859,0.118503344,0,SRO
94,1.019E+11,1.81161,4,0.808947376,0.893642534,0.649875178,0.805733319,0.650409975,0.75554183,0.246202562,0,SRO
95,1.019E+11,1.36728,5,0.674455012,0.613299697,0.317735822,0.314723631,0.334044401,0.42470277,0.013817373,0,SRO
96,1.019E+11,0.171038,3,0.9524012,0.947869435,0.865435081,0.843656084,0.730101083,0.863913532,0.48122855,1,SRO
97,1.019E+11,0.592934,2,0.868090568,0.974041822,0.82284208,0.874496273,0.715228054,0.846705397,0.435172696,0,SRO
98,1.019E+11,1.4906501,4,0.400009714,0.487985014,0.402384276,0.315918415,0.392961218,0.396103365,0.009750854,1,SRO
99,1.019E+11,0.646105,1,0.640757909,0.673474308,0.656416252,0.535101124,0.437610835,0.581224152,0.066331262,0,SRO
100,1.019E+11,1.9807301,5,0.607006602,0.678282606,0.370956585,0.335951339,0.46974116,0.47469257,0.024102504,0,SRO
101,1.019E+11,1.47364,5,0.791460334,0.831087274,0.486959763,0.514059499,0.510139288,0.609332306,0.083998402,0,SRO
102,1.019E+11,0.623896,3,0.712216307,0.915527256,0.68997543,0.716237635,0.675569332,0.737171907,0.217692707,0,SRO
103,1.019E+11,0.646839,3,0.421217778,0.811989779,0.709612191,0.62468046,0.49526802,0.595820314,0.075089036,1,SRO
104,1.019E+11,1.20346,4,0.874066487,0.862564335,0.70456533,0.694419965,0.612243411,0.742609859,0.225841398,0,SRO
105,1.019E+11,2.4509699,3,0.409006875,0.553464821,0.448895622,0.337806379,0.395936452,0.423303507,0.013591248,1,SRO
