,FID,HUC12,FREQUENCY,SUM_Length_km,Unnamed: 0,FP_Areakm2,Line_Density
31,-1,101800020107,3,1.7940793121233582,44,1.9450900554656985,0.9223631096575706
32,-1,101800100101,2,3.029434010386467,49,1.85001003742218,1.6375230129063012
33,-1,101800100102,1,0.611010015010834,50,0.4483410120010376,1.3628242758425586
34,-1,101800100105,3,6.908030837774278,53,3.949579954147339,1.7490545622504376
35,-1,101800100106,2,4.079665064811707,54,1.1939300298690796,3.4170051533581605
36,-1,101800100107,1,2.46045994758606,55,2.663100004196167,0.923908206116626
37,-1,101800100202,1,0.152101993560791,56,0.8816750049591064,0.17251480727623184
38,-1,101900010105,1,7.616230010986327,63,3.8241100311279297,1.991634641522044
39,-1,101900010106,2,5.492493867874146,64,6.688889980316162,0.8211368230060997
40,-1,101900010108,6,23.149922281503677,66,11.739800453186035,1.9719178680946896
41,-1,101900010205,1,1.788849949836731,71,26.17910003662109,0.06833122404262816
42,-1,101900010208,2,7.134610056877136,74,6.3800902366638175,1.1182616220500137
43,-1,101900010209,3,12.346830368041992,75,10.29740047454834,1.1990240059672481
44,-1,101900010306,1,5.909780025482178,82,15.458700180053713,0.3822947567808799
45,-1,101900010401,1,1.9559199810028083,84,1.6341199874877932,1.196925559921541
46,-1,101900010402,1,4.662300109863281,85,6.137849807739258,0.7595982723436071
47,-1,101900020608,2,7.333280086517334,135,5.171689987182617,1.4179659076031135
48,-1,101900020701,1,0.522140026092529,136,1.058459997177124,0.4933016150681729
49,-1,101900020702,1,0.20630900561809498,137,1.408650040626526,0.14645866586305198
50,-1,101900020703,4,7.507670044898987,138,11.952500343322756,0.6281254824722204
51,-1,101900020901,2,7.592129945755005,148,6.004889965057372,1.264324573794662
52,-1,101900020902,4,6.111665010452271,149,1.149880051612854,5.315045688356693
53,-1,101900020903,5,10.348159968852995,150,1.878350019454956,5.50917553260693
54,-1,101900020904,1,1.4483499526977541,151,13.14050006866455,0.1102203070757982
55,-1,101900030203,2,6.510569930076599,162,2.183350086212158,2.9819175455144853
56,-1,101900030204,5,13.802503228187561,163,10.054100036621094,1.3728233435029757
57,-1,101900030304,3,13.076620101928713,167,10.98169994354248,1.1907646511156134
58,-1,101900030401,8,19.80837821960449,168,9.062959671020508,2.185641218612421
59,-1,101900030402,8,27.186238169670105,169,18.640899658203125,1.4584187817193959
60,-1,101900030403,6,6.274506896734238,170,6.701260089874268,0.9363174705329134
61,-1,101900030404,8,12.98552618175745,171,10.415399551391602,1.2467621734225696
62,-1,101900030405,5,14.29047179222107,172,14.28159999847412,1.00062120446924
63,-1,101900030406,1,10.689800262451172,173,6.0970401763916025,1.7532769923090277
64,-1,101900030407,2,3.680282115936279,174,3.2663400173187256,1.1267296412568064
65,-1,101900030408,5,19.63522034883499,175,8.148699760437013,2.4096139170774844
66,-1,101900030409,5,27.227079510688785,176,24.72450065612793,1.1012185802806334
67,-1,101900030501,3,6.3622864284552625,177,7.707640171051025,0.8254519265638852
68,-1,101900030502,17,43.65524791553617,178,4.45251989364624,9.804616028292731
69,-1,101900030503,2,9.536430120468141,179,6.366889953613281,1.4978160750298677
70,-1,101900030504,4,14.877275003120305,180,20.191699981689453,0.7368015083728237
71,-1,101900030505,5,36.19754352420569,181,11.815400123596193,3.0635901573842284
72,-1,101900030602,3,10.495980262756348,183,18.489500045776367,0.567672475554794
73,-1,101900030603,8,31.48062628507614,184,25.85709953308105,1.2174848244212566
74,-1,101900030604,3,23.025039672851566,185,14.32800006866455,1.60699606103489
75,-1,101900030605,1,2.050529956817627,186,5.151100158691406,0.39807611843030966
76,-1,101900030606,11,31.876015141606327,187,23.30010032653809,1.3680634286926454
77,-1,101900030607,7,24.849690198898315,188,31.19750022888184,0.7965282479874177
78,-1,101900030803,3,12.851760268211365,198,11.379400253295898,1.129388191129758
79,-1,101900030806,5,14.558693304657936,201,26.57099914550781,0.5479166675265684
80,-1,101900030905,2,3.4115689098834987,206,8.353690147399902,0.4083906452940865
81,-1,101900030908,2,7.022910118103027,209,15.573599815368652,0.45094969701048426
82,-1,101900030910,4,3.063098967075348,211,7.925610065460205,0.38648115940302535
83,-1,101900031001,1,3.3486299514770512,212,4.792379856109619,0.6987405113991565
84,-1,101900031002,2,11.5103497505188,213,15.305100440979006,0.752059732956743
85,-1,101900031007,6,22.52847826480865,218,13.51449966430664,1.666985743046705
86,-1,101900031102,3,17.929920315742493,220,22.496299743652344,0.797016421369549
87,-1,101900031103,2,17.789509773254395,221,30.049299240112305,0.5920108030175785
88,-1,101900031105,4,5.7119200229644775,223,4.341909885406493,1.315531683916955
89,-1,101900031201,1,0.041085500270128,224,9.778800010681152,0.004201486913041608
90,-1,101900031202,2,5.201560020446777,225,5.094580173492432,1.0209987561901512
91,-1,101900031203,6,17.485618948936462,226,21.583999633789066,0.8101194980360953
92,-1,101900031205,1,7.587739944458008,227,8.108909606933594,0.9357287616044018
